EC               2 NGC 2244,NGC2239    REF799 
OC               1 Messineo 1          REF383 
EC               7 various(w Spitzer)  REF993 
OC               1 Tombaugh 2          REF739 
NGAL,DGAL        2 LMC,SMC             REF1205
OC               1 Pismis 3            REF624 
Ast,DGAL         4 SDSS overdensities  REF996 
EC               2 DBSB 48,Tr 14       REF794 
cPOCR            1 HD 4798 Group       REF951 
KAs              1 HD 141569 Assoc     REF1716
OC               1 Alicante 1          REF889 
OC            1200 WEBDA database      REF8000
KGr              1 Magellanic Bridge   REF3340
KAs,KGr,Assoc    9 various             REF697 
OC               1 Messineo            REF495 
OC               1 ESO 211-8           REF890 
OC               1 NGC 2236            REF750 
KGr              1 Polaris             REF1741
OC               4 FSR 1521,L K1, 10   REF798 
OC               1 Berkeley 53         REF735 
EC               2 GMR 1,2 (in CMaR1)  REF753 
OC,OC           14 FSR101,162,1430     REF791 
OC               1 NGC 2489            REF3414
OC               2 Dutra 1,Stephen. 2  REF491 
OC               1 RSGC 3              REF492 
OC              14 Quartet Cl.,others  REF493 
OC               1 RSGC 3              REF496 
EC               4 Cr68,vdB80,BDBS96   REF821 
EC               1 SHD 1 (in NGC2264)  REF494 
OC               1 Shorlin 1           REF606 
OC               1 NGC 2489            REF748 
EC               8 RMC X (X-ray cls)   REF497 
EC               1 YEP 1               REF966 
GC               1 FSR 1767            REF796 
OC               1 NGC 2236            REF3413
OC              12 Dias 3,4,7 &others  REF627 
DGAL             1 Pisces I            REF5005
DGAL,OVD         1 Pis Ovrd=Pis I,EPO  REF5006
EC               1 MHL 1               REF746 
EC              10 NGC6334 X(Xray cl)  REF943 
GC               1 Pfleiderer 2        REF982 
OC               3 Cz 26,30,Haff 11    REF766 
EC               2 PHN 2,3             REF443 
EC              48 CTG 1,2,3,others    REF444 
DGAL             1 SEGUE 2             REF445 
OC,EC            4 Danks1,2,DBSB130,1  REF604 
EC               1 DBSB 122            REF1022
EC               1 SGR 1900+14         REF384 
KGr              4 various Streams     REF1744
OC               1 NGC 2587            REF3412
Ast              1 Thompson 1          REF868 
Ast              1 Alessi 2340         REF869 
KGr             22 ZZC 1-22 (Streams)  REF1722
Assoc,EC        97 various             REF1071
OC               2 Berk 29,Saurer 1    REF605 
EC               8 GRS                 REF4019
Assoc            1 ABP 1               REF1016
OC              10 Be9,43,45,47,othrs  REF607 
GC               1 SEGUE 3             REF786 
EC               2 vdB 92,Cr 197       REF790 
EC               1 DBSB 127            REF960 
OC               2 Rup 135,Berk 10     REF1017
OC               2 Teutsch 145,146     REF780 
OC,GC          256 FSR & NGC clusters  REF1020
Ast              1 NGC 6863            REF609 
Ast              1 Chesire Cat         REF333 
Ast              1 Inchworm            REF751 
KGr             16 A 1 to A 16         REF3338
OC               9 Tr13,Tr20,Ly4,Hog9  REF610 
OC,EC          153 SAI clusters        REF778 
OC,EC,Ast       60 Kronb & DoDz objs   REF628 
KGr              1 Cetus Polar Stream  REF1764
DGAL             1 NGC 3109: Assocs    REF3355
DGAL             1 And XVI             REF1219
DGAL             1 Bootes III          REF1201
Assoc,EC,ECC    40 RM far assocs       REF1066
Ast              3 Leiter 4,13 Sge Gr  REF707 
OC               1 BH 67               REF608 
OC,Ast           5 N2383,4,Ru72,Ru158  REF477 
OC               3 Ru 135,Be 89,Be 10  REF622 
GC,EC,OC         7 GLIC02,Merc5,GLI30  REF919 
OC,OC           50 FSR clusters        REF802 
OC,OCC,EC       49 various             REF1042
EC,OC            5 SBB 1,2,3,4,Teu127  REF991 
NGAL             1 NGC 300: GCs        REF3343
KGr,KAs          3 Castr,Oct,Oct-Near  REF1713
OC               3 Be 6,77,Turner 13   REF803 
OC              15 Ruprecht clusters   REF782 
DGAL             2 LMC,SMC:cls&Assocs  REF1206
OC               1 NGC 3519            REF776 
KGr              1 Sagittarius Stream  REF1734
OC               1 Trumpler 3          REF734 
EC               1 Teutsch 42          REF918 
EC,EGr          16 SPW1-15(SpitzrCar)  REF379 
OC               5 Biu 12,Cz 27,BH 37  REF731 
OC               1 NGC 2587            REF732 
OC               1 NGC 2398            REF730 
OC               2 NGC 3590, Hogg 12   REF729 
OC               6 Cz 1,38,BH 54,Tr 6  REF728 
DGAL             1 IC 1613: Assocs     REF3356
GC             157 GCs in the MW       REF400 
EC               1 Collinder 419       REF893 
OC               1 Alicante 8          REF387 
EC,OC            9 Do 9,10,11,21,27    REF845 
OC,EC,OCC        4 Teu 125,144,Ju 11   REF930 
EC               1 TRB 1               REF3055
KGr              1 Pal 14 Tidal Tail   REF3204
OC,EC            5 eta Cha,M47,IC2391  REF1733
EC,OC            3 eta,eps Cha,Mamk 3  REF1730
KGr              1 Aquarius Stream     REF1749
GC               1 VVV CL0001          REF909 
EC               1 Collinder 419       REF1029
EC               1 Tr 37               REF1028
OC,EC           96 VVV CL clusters     REF903 
EC,Assoc         3 Ali7,9,RSGC3 Assc.  REF388 
OC,Ast         132 NGC objects         REF667 
OC              34 Teutsch clusters    REF783 
EC               2 IR 13E,S-Star Cl.   REF1025
EC               2 CBB 1,CBB 2         REF752 
EC               1 NGC 2353            REF1012
OC,EC           15 Pi 13,Do 39,BH 79   REF920 
KGr              1 Monoceros Ring      REF3203
EC               7 Sh2-252A,C,E,othrs  REF557 
EC              27 MDF emb. clusters   REF1054
EC               1 MDF 10              REF1053
lPOCR,OC,Ast     6 DoDz6,NGC 272,2180  REF558 
EC               3 W 31,BDSB 131,139   REF950 
GC,OC            3 VVV CL2,3,4         REF837 
OCC              1 MKN 1               REF3400
OC,GCC           1 GLIMPSE C01         REF367 
GC               1 Mercer 5            REF368 
OC,EC           15 Teu,Ale,Kronb cls   REF389 
OC               1 Ruprecht 15         REF386 
OC               3 Ruprecht 13,14,24   REF385 
EC               1 WZW 1               REF381 
EC               1 GLIMPSE 14          REF1019
EC,EGr          55 CCL 1-20,CGR 1-31   REF380 
Assoc            1 IC 1795 Assoc       REF378 
cPOCR            1 Lassell 1           REF375 
Assoc            1 RMM 29              REF1068
OC               6 Hog 3,4,Haf 3,5,25  REF1013
EC               1 NGC 1624            REF1027
OC               5 Pfl3,Be84,Alessi53  REF1014
KGr              1 Pisces Stel Stream  REF5950
OC             131 various open cls    REF1015
EC,EGr           5 SBB 5,6,7,8         REF376 
OC               1 Masgomas 1          REF1136
GC               8 Pal1,13,Kop1,2,AM4  REF1011
Ast              1 Elosser 1           REF634 
EC,EC,EGr       11 various clusters    REF1026
DGAL,NGAL       94 Local Group Gals.   REF1220
EC               1 CepOB3b             REF1072
EC               1 BDSB 96             REF3360
EC               1 LMR 23              REF3361
KGr              1 Triangulum Stream   REF1774
EC               1 Alicante 6          REF3054
EC              18 UCEC clusters       REF1073
OC               1 Alicante 10         REF1137
EC             167 SUH clusters        REF1065
Assoc,ECC      280 LMR:far MW assocs   REF1061
OC               4 VVV CL103,105       REF1024
EC               6 CBB 3-9,FSR Cls     REF377 
GC               1 Munoz               REF1009
EC               4 Danks1,2,DBSB 132   REF1034
OC,EC,Assoc      6 FNY 1,2,others      REF1045
GC               1 Kronberger 49       REF3320
Ast              2 Lovro 2,Small Fish  REF1031
KGr              2 Arct.,AF 06 Stream  REF1750
Assoc            3 X-Ray Clump         REF1787
OC,EC,Assoc      3 Turner 13a,14       REF1038
OC,GC,Assoc   3784 MWSC Database       REF9000
EC             229 Majaess clusters    REF1040
DGAL             1 Pandas 48           REF5007
GC               1 Balbinot 1          REF1041
EC              22 RMM objects         REF1064
EC,OC           28 CBB 10-21,FSR cls   REF1039
Ast              1 Teutsch 1906        REF1080
EC               6 VVV CL clusters     REF1170
Ast              1 Vir Z               REF1007
Ast              1 Webb 1              REF1081
OC             775 FSR Cls & others    REF3033
GC               1 SEGUE 3             REF1030
EC               1 TEB 1               REF3053
DGAL             1 Cassiopeia II       REF5011
EC               1 The Brick Emb. Cl.  REF1059
EC               2 DO 1,GLI 2: in N14  REF3362
Ast              2 ADS 16795,Airplane  REF1060
DGAL             2 NGC147,NGC185: GCs  REF3348
DGAL             1 Per I               REF5012
DGAL             2 Lac I,Cas III       REF5013
KGr              1 DG 1 Stream         REF1747
EC               2 CMF 1,CMF 2,others  REF1621
EC,GCC          63 VVV CL clusters     REF1000
NGAL             1 M33: 671 clusters   REF3354
OC,EC          298 FSR clusters        REF3032
KGr,KAs          7 Moving Groups       REF1712
EC,ECC          10 LBB1-3,Pis24,othes  REF1010
EC              75 MWM clusters        REF1089
KGr              1 ATLAS Stream        REF5970
GC               1 Laevens 1           REF3005
DGAL             1 KK 258              REF3347
DGAL             1 Crater 2            REF3006
EC               3 BRCC 1,2,3          REF4056
EC,OC            7 VVL CL164-7,others  REF1035
EC               1 SFO 5,SFO 7,SFO 39  REF3381
EGr              2 SGM 1,GMR 1(CMaR1)  REF754 
Ast              1 Wenzel 1            REF1101
DGAL             1 NGC 6822 GCs        REF3342
KGr              1 PAndAS MW Stream    REF5600
KGr              1 Arctur.,V 3 Stream  REF1752
EC              84 SHU clusters        REF1088
OC,OCC,GCC      10 VVV CL clusters     REF3002
OC             139 MWSC high lat. OCs  REF1098
EC,EGr         437 Cmg clusters        REF160 
EC               2 Cmg 438,9(halo)     REF4000
KGr              1 Her-Aql Overdens.   REF1778
OCC              1 DMH 1               REF3401
Ast              2 Alessi 1849,N2264   REF2008
Ast              1 Triple Trapezoid    REF2010
KGr             12 Galact. Overdens.   REF1700
EC               1 Subgr in BDSB 112   REF3041
GC               1 Kim 1               REF5001
GC               1 Kim 2               REF5002
KGr              1 Ophiuchus Stream    REF1748
DGAL             8 Ultra F dwarf gals  REF5020
DGAL             9 Ultra F dwarf gals  REF5004
DGAL             1 Pegasus III         REF5014
EC,EGr          19 MGC1-19:NGC6357cls  REF1800
EC               7 Cmg 440 to 446      REF4001
GC               1 Laevens 1           REF3021
DGAL             3 Pis II,Hya II       REF3022
DGAL             1 IC10: 66 clusters   REF3358
DGAL             1 Triangulum II       REF3047
DGAL             1 Hydra II            REF3023
DGAL,GC          3 SgrII,DraII,Laev 3  REF3024
DGAL             1 Antlia B            REF3346
NGAL             1 M33: GCs            REF3351
DGAL             8 Ultra F dwarf gals  REF3025
DGAL             1 Horologium II       REF3026
EC               1 Sh2-138             REF3042
KGr              1 Orphan Stream       REF1760
DGAL             1 Tria;ngulum II      REF3027
