REF249  Malkan, M., 1981, IAU Colloq. 68, eds. A. G. D. Philip & D. S. Hayes, Schenectady, L. Davis Press, 533                                                                                                                                                                                                                                                               |1981apgc.conf..533M
REF282  Loden, L. O., 1981, A&AS, 44, 155                                                                                                                                                                                                                                                                                                                                    |1981A&AS...44..155L
REF211  The, P.S., Arens, M., van der Hucht, K.A., 1982, ApL, 22, 109                                                                                                                                                                                                                                                                                                        |1982ApL....22..109T
REF231  Topatkas, L., Fenkart, R.P., 1982, A&AS, 49, 475                                                                                                                                                                                                                                                                                                                     |1982A&AS...49..475T
REF064  Duerr, R., Imhoff, C. L., Lada, C. J., 1982, ApJ, 261, 135                                                                                                                                                                                                                                                                                                           |1982ApJ...261..135D
REF070  Storey, J. W. V., Bailey, J., 1982, PASAu, 4, 429                                                                                                                                                                                                                                                                                                                    |1982PASAu...4..429S
REF269  Turner, D.G., 1982, PASP, 94, 1003                                                                                                                                                                                                                                                                                                                                   |1982PASP...94.1003T
REF234  Lauberts, A., 1982, in ESO /Uppsala Survey of the ESO (B) Atlas, ESO:Garching                                                                                                                                                                                                                                                                                        |1982euse.book.....L
REF251  Danks, A. C., Dennefeld, M., Wamsteker, W., Shaver, P. A., 1983, A&A, 118, 301                                                                                                                                                                                                                                                                                       |1983A&A...118..301D
REF036  Haschick, A. D., Ho, P. T. P., 1983, ApJ, 267, 638                                                                                                                                                                                                                                                                                                                   |1983ApJ...267..638H
REF416  Wilking, B.A., Lada, C.J., 1983, ApJ, 274, 698                                                                                                                                                                                                                                                                                                                       |1983ApJ...274..698W
REF902  Eggen, O. J. 1983, MNRAS, 204, 377                                                                                                                                                                                                                                                                                                                                   |1983MNRAS.204..377E
REF019  Felli, M., Churchwell, E., Massi, M., 1984, A&A, 136, 53                                                                                                                                                                                                                                                                                                             |1984A&A...136...53F
REF266  Turner D. G., 1984, PASP, 96, 422                                                                                                                                                                                                                                                                                                                                    |1984PASP...96..422T
REF3048 Radoslavova, T. 1985, IBVS, 2679, 1                                                                                                                                                                                                                                                                                                                                  |1985IBVS.2679....1R
REF272  Turner, D. G., 1985, A&A, 144, 241                                                                                                                                                                                                                                                                                                                                   |1985A&A...144..241T
REF270  Turner, D. G., 1986, A&A, 167, 157                                                                                                                                                                                                                                                                                                                                   |1986A&A...167..157T
REF210  Turner, D. G., Leonard, P. J. T., Madore, B. F., 1986, JRASC, 80, 166                                                                                                                                                                                                                                                                                                |1986JRASC..80..166T
REF261  Pandey, A. K., Mahra, H. S., 1986, ApSS, 120, 107                                                                                                                                                                                                                                                                                                                    |1986Ap&SS.120..107P
REF206  Lynga, G., 1987, Catalogue of Open Cluster Data, 5th edition, CDS                                                                                                                                                                                                                                                                                                    |1995yCat.7092....0L
REF034  Straw, S., Hyland, A. R., Jones, T. J., Harvey, P. M., Wilking, B. A., Joy, M., 1987, ApJ, 314, 283                                                                                                                                                                                                                                                                  |1987ApJ...314..283S
REF245  FitzGerald, P.M., Mehta, S., 1987, MNRAS, 228, 545                                                                                                                                                                                                                                                                                                                   |1987MNRAS.228..545F
REF262  Arp, H.C., Madore B.F., 1987, Catalogue of Southern Peculiar Galaxies and Associations                                                                                                                                                                                                                                                                               |1987cspg.book.....A
REF218  Fitzgerald, M.P., 1987, MNRAS, 229, 227                                                                                                                                                                                                                                                                                                                              |1987MNRAS.229..227F
REF220  Slawson, R.W., Cameron Reed, B., 1988, AJ, 96, 988                                                                                                                                                                                                                                                                                                                   |1988AJ.....96..988S
REF3093 Olszewski, E.W., Harris, H.C., Schommer, R.A. & Canterna, R.W. 1988, AJ, 95, 84                                                                                                                                                                                                                                                                                      |1988AJ.....95...84O
REF077  Evans II, N.J., Mundy, L.G., Kutner, M.L., DePoy, D.L., 1989, ApJ, 346, 212                                                                                                                                                                                                                                                                                          |1989ApJ...346..212E
REF062  Kenyon, S. J., Hartmann, L. W., Strom, K. M., Strom, S. E., 1990, AJ, 99, 869                                                                                                                                                                                                                                                                                        |1990AJ.....99..869K
REF899  Glass, I.S., Moneti, A., Moorwood, A.F.M., 1990, MNRAS, 242, 55                                                                                                                                                                                                                                                                                                      |1990MNRAS.242P..55G
REF068  Stephenson, C. B., 1990, AJ, 99, 1867                                                                                                                                                                                                                                                                                                                                |1990AJ.....99.1867S
REF094  Nagata, T., Woodward, C. E., Shure, M., Pipher, J. L., Okuda, H., 1990, ApJ, 351, 83                                                                                                                                                                                                                                                                                 |1990ApJ...351...83N
REF101  Brosch, N., 1991, MNRAS, 253, 545                                                                                                                                                                                                                                                                                                                                    |1991MNRAS.253..545B
REF054  Lada, E. A., Evans, N. J. II, Depoy, D. L., Gatley, I., 1991, ApJ, 371, 171                                                                                                                                                                                                                                                                                          |1991ApJ...371..171L
REF025  Krabbe, A., Genzel, R., Drapatz, S., Rotaciuc, V., 1991, ApJ, 382, L19                                                                                                                                                                                                                                                                                               |1991ApJ...382L..19K
REF050  Hodapp, K.-W., Rayner, J., 1991, AJ, 102, 1108                                                                                                                                                                                                                                                                                                                       |1991AJ....102.1108H
REF038  Moore, T. J. T., Mountain, C. M., Yamashita, T., McLean, I. S., 1991, MNRAS, 248, 377                                                                                                                                                                                                                                                                                |1991MNRAS.248..377M
REF065  Whittet, D., Prusti, T., Wesselius, P. R., 1991, MNRAS, 249, 319                                                                                                                                                                                                                                                                                                     |1991MNRAS.249..319W
REF005  Aspin, C., Geballe, T.R., 1992, A&A, 266, 219                                                                                                                                                                                                                                                                                                                        |1992A&A...266..219A
REF3341 Battinelli, P., Demers, S.1992, AJ, 104, 1458                                                                                                                                                                                                                                                                                                                        |1992AJ....104.1458B
REF243  Turbide, L., Moffat, A.F.J., 1993, AJ, 105, 1831                                                                                                                                                                                                                                                                                                                     |1993AJ....105.1831T
REF011  Block, D.L., Geballe, T.R., Dyson, J.E., 1993, A&A, 273, L41                                                                                                                                                                                                                                                                                                         |1993A&A...273L..41B
REF061  Leinert, Ch., Zinnecker, H., Weitzel, N. et al., 1993, A&A, 278, 129                                                                                                                                                                                                                                                                                                 |1993A&A...278..129L
REF284  Piche, F., 1993, PASP, 105, 324                                                                                                                                                                                                                                                                                                                                      |1993PASP..105..324P
REF095  Nagata, T., Hyland, A. R., Straw, S. M., Sato, S., Kawara, K., 1993, ApJ, 406, 501                                                                                                                                                                                                                                                                                   |1993ApJ...406..501N
REF056  Strom, K. M., Strom, S. E., Merrill, K. M., 1993, ApJ, 412, 233                                                                                                                                                                                                                                                                                                      |1993ApJ...412..233S
REF278  Loden, L.O., 1993, Ap&SS, 199, 165                                                                                                                                                                                                                                                                                                                                   |1993Ap&SS.199..165L
REF058  Pasztor, L., Toth, L. V., Balazs, L. G., 1993, A&A, 268, 108                                                                                                                                                                                                                                                                                                         |1993A&A...268..108P
REF267  Turner, D.G., van den Bergh, S., Younger, P.S., Danks, T.A., Forbes, D., 1993, ApJS 85, 119                                                                                                                                                                                                                                                                          |1993ApJS...85..119T
REF063  Gomez, M., Hartmann, L., Kenyon, S. J., Hewett, R., 1993, AJ, 105, 1927                                                                                                                                                                                                                                                                                              |1993AJ....105.1927G
REF001  Carpenter, J.M., Snell, R.L., Schloerb, F.P., Shrutskie, M.F., 1993, ApJ, 407, 657                                                                                                                                                                                                                                                                                   |1993ApJ...407..657C
REF921  Pettersson, B., Reipurth, B. 1994, A&AS, 104, 233                                                                                                                                                                                                                                                                                                                    |1994A&AS..104..233P
REF012  Persi, P., Roth, M., Tapia, M., Ferrari-Toniolo, M., Marenzi, A.R., 1994, A&A, 282, 474                                                                                                                                                                                                                                                                              |1994A&A...282..474P
REF208  Saurer, W., Seeberger, R., Weinberger, R., Ziener, R., 1994, AJ, 107, 2101                                                                                                                                                                                                                                                                                           |1994AJ....107.2101S
REF212  Turner, D.G., Mandushev, G.I., Forbes, D., 1994, AJ, 107, 1796                                                                                                                                                                                                                                                                                                       |1994AJ....107.1796T
REF008  Hodapp, K.-W., 1994, ApJS, 94, 615                                                                                                                                                                                                                                                                                                                                   |1994ApJS...94..615H
REF006  Aspin, C., Barsony, M., 1994, A&A, 288, 849                                                                                                                                                                                                                                                                                                                          |1994A&A...288..849A
REF316  Bica, E. 1994, A&A, 285, 868                                                                                                                                                                                                                                                                                                                                         |1994A&A...285..868B
